Ticker,Short_Interest_Rate,transaction_value
SLM,6.11,medium transaction
AEO,3.45,large transaction
MGM,4.13,large transaction
CVS,2.21,large transaction
FOXA,8.97,large transaction
ACGL,4.28,large transaction
CVE.TO,2.17,large transaction
SYF,4.99,large transaction
DAL,4.04,large transaction
CHX,6.12,medium transaction
ELD.TO,9.98,large transaction
BBVA.MC,,medium transaction
BKR,3.04,large transaction
APLE,5.81,large transaction
MTCH,4.33,large transaction
JWN,3.7,medium transaction
URBN,2.41,medium transaction
ARCC,5.73,medium transaction
FNF,3.37,medium transaction
